Feature,Importance,Taxon
8d39bfc530a2236ca3f4616581ca305f,0.0030367211,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
1a0c638e045284e02869ce09ab9677b0,0.003030569,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_B; s__Romboutsia_B ilealis
2d1f07215286df6fa9ea9136fecd5193,0.0030128225,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866
2755568db15c5f0c3ec09bec3d9a94e9,0.003011312,d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella melaninogenica
16b2e159c35b573d7de39c6c9d7a0c16,0.0030111612,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Lawsonella
9d117be630f5c8d4a177d0b9f6eb5689,0.0030096783,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Savagea; s__Savagea faecisuis
cf7f21d13f06a953d7276ffd790181f3,0.0030051311,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Facklamia; s__Facklamia languida
0a2a863842c89bb166832bb267ca7dcd,0.003003713,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775
d3bd974595655b8f89b85742ed6a5230,0.002994365,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus
3db1c9abe2dff5626e913b450cc292a7,0.002993042,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Trichococcus
1ce2c3645a9500b698d6b801f0c13d70,0.0029857508,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Dermatophilaceae; g__Dermacoccus; s__Dermacoccus nishinomiyaensis
ef79a23b2872a9c3c959299a7967b0a9,0.0029733565,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus; s__Micrococcus luteus
5fc38304fc50c2e68cb6c59579250c84,0.0029688335,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Lawsonella
3317d213a744178b7139827f8ea6afeb,0.0029675972,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae
cd865752b3e4a14668065fcbfb81eb2e,0.002963325,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Granulicatella
ed45efaa5c24efc1b504d385dbe39dfc,0.0029538479,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae; g__Bradyrhizobium_503372
31bb03f3355d3a880162a15444c94211,0.0029508988,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium namnetense
d8411ed83372e3b323f2802e323a0415,0.0029407868,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Peptidiphaga; s__Peptidiphaga gingivicola
d1102985885e4778079710237afdf6fa,0.002932384,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Peptostreptococcus; s__Peptostreptococcus stomatis
f2dccd61ffc24f9531e3475b2392d722,0.0029265515,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Xanthobacteraceae
d42f1d14d54b77a59679369d1258e727,0.0029261492,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium
a4b97b421f6a3725007b9e1296f4968f,0.0029207054,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae_A_595421; g__Burkholderia
8cc4f0c2ebf1335faf886dc18f82447b,0.0029173351,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Thiopseudomonas; s__Thiopseudomonas alkaliphila
5f4aed809113464f724933a48665ae88,0.0029145544,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus argensis
355ae28d75cf5d5d88a43ce34cd60189,0.0029095686,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
d5164f93e3b98a192da348ec38d0efc4,0.002906416,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae_486827; g__Sphingobium_A_485959; s__Sphingobium_A_485959 yanoikuyae
65a25e9d579db5198686f0d49f598226,0.002900516,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__Varibaculum cambriense_A
e0dc605adc50dfb980f31ecf07f8d67a,0.0028970598,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
66f257e9cc1a064cfa3bc46f00b9c996,0.0028966775,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
3eb1051e830d70631869ef6cdf4cc22e,0.0028938754,d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae
ad60eab30f37b90372c206b8cf2e2f32,0.0028928632,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Anaerovoracaceae; g__Eubacterium_N_234271; s__Eubacterium_N_234271 saphenum
61c3579cd3bfb5f10609e37f5536a480,0.0028897384,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Micrococcaceae; g__Rothia; s__Rothia dentocariosa
6a137de612433f1248ce328e0bbf9350,0.0028895799,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Filifactoraceae; g__; s__Peptococcus simiae
4003a9a9a79021b61db6e75da2dc93ba,0.0028858879,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921
bff4867608fe700e9a3e94d7af2e2954,0.002880021,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__Aerococcus urinae_B
0b83ed8f18802de16040c47af0d28f8b,0.0028716633,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Ezakiella; s__Ezakiella peruensis
b1ba25fa51c76019488f12599d81ae0b,0.002859397,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Cardiobacteriales; f__Wohlfahrtiimonadaceae; g__Wohlfahrtiimonas; s__Wohlfahrtiimonas populi
0e36c9c5144325d16b1c2d0d95eae3ea,0.0028325168,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Mobiluncus
831ca2da16adbc28040fc0c093a54c76,0.0028314046,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces
09ce60621ec6179a8bd1bfea142e14cd,0.002829004,d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Eubacteriales; f__Eubacteriaceae; g__Pseudoramibacter; s__Pseudoramibacter alactolyticus
540716097d7d7456fadf5b85c1758fc8,0.0028226345,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__NBRC-103111; g__Paenibacillus_G_363728; s__Paenibacillus_G_363728 naphthalenovorans
273e426f871556578adb79933491b586,0.0028196361,d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae; g__Agrobacterium
8a5ee16118a0c39264f23926daacd7f4,0.0028193593,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium massiliense
ebbcdda0acb2e2623bd48d0fafc5cdd0,0.002815786,d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029
c9da3bddf4c7f6572f19a00879286f85,0.0028078847,d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
627d62b5dce04fa0f344bc432d82b23b,0.002807019,d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Gordonia_B_376796
